epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,27.4971,0.79216,0.88701,1.22346,0.89558,0.4,0.42768,0.29903,1.78768,2.31347,1.45738,1.25927e-05,1.25927e-05,1.25927e-05
91,28.002,0.53368,0.60236,0.96805,0.89558,0.4,0.42768,0.29903,1.78768,2.31347,1.45738,1.16739e-05,1.16739e-05,1.16739e-05
92,28.4197,0.49717,0.50962,0.8387,0.88634,0.4,0.42676,0.29999,1.76552,2.3447,1.44218,1.07315e-05,1.07315e-05,1.07315e-05
93,28.8257,0.54968,0.58525,0.92031,0.88634,0.4,0.42676,0.29999,1.76552,2.3447,1.44218,9.76562e-06,9.76562e-06,9.76562e-06
94,29.0815,0.59969,0.53695,1.02412,0.88634,0.4,0.42676,0.29999,1.76552,2.3447,1.44218,8.77613e-06,8.77613e-06,8.77613e-06
95,29.5447,0.51759,0.51814,0.97174,0.88634,0.4,0.42676,0.29999,1.76552,2.3447,1.44218,7.76308e-06,7.76308e-06,7.76308e-06
96,29.8217,0.72818,0.60257,1.27051,0.9012,0.4,0.42857,0.3008,1.81604,2.39918,1.48612,6.72648e-06,6.72648e-06,6.72648e-06
97,30.0918,0.55936,0.53933,0.99046,0.9012,0.4,0.42857,0.3008,1.81604,2.39918,1.48612,5.6663e-06,5.6663e-06,5.6663e-06
98,30.5514,0.61701,0.61192,1.0761,0.9012,0.4,0.42857,0.3008,1.81604,2.39918,1.48612,4.58257e-06,4.58257e-06,4.58257e-06
99,30.8305,0.46156,0.52899,0.93128,0.9012,0.4,0.42857,0.3008,1.81604,2.39918,1.48612,3.47528e-06,3.47528e-06,3.47528e-06
100,31.3055,0.53142,0.46696,0.96847,0.93216,0.39806,0.4279,0.31681,1.8565,2.46219,1.52439,2.34442e-06,2.34442e-06,2.34442e-06
